Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 260481
Palabra: -something Frec: 0 LogProb: 0
Palabra: -stay Frec: 0 LogProb: 0
Palabra: -stayed Frec: 0 LogProb: 0
Palabra: -staying Frec: 0 LogProb: 0
Palabra: -step Frec: 0 LogProb: 0
Palabra: -still Frec: 0 LogProb: 0
Palabra: -stimulus Frec: 0 LogProb: 0
Palabra: -stock Frec: 0 LogProb: 0
Palabra: -store Frec: 0 LogProb: 0
Palabra: -tag Frec: 0 LogProb: 0
Palabra: -talking Frec: 0 LogProb: 0
Palabra: -temperatures Frec: 0 LogProb: 0
Palabra: -testing Frec: 0 LogProb: 0
Palabra: -the Frec: 2 LogProb: -11.517995921783335
Palabra: -thread Frec: 0 LogProb: 0
Palabra: -tips Frec: 0 LogProb: 0
Palabra: -to Frec: 3 LogProb: -11.230313849331553
Palabra: -trade Frec: 0 LogProb: 0
Palabra: -transparency Frec: 0 LogProb: 0
Palabra: -ug Frec: 0 LogProb: 0
Palabra: -unable Frec: 0 LogProb: 0
Palabra: -uncertainty Frec: 0 LogProb: 0
Palabra: -union Frec: 0 LogProb: 0
Palabra: -unions Frec: 0 LogProb: 0
Palabra: -using Frec: 0 LogProb: 0
Palabra: -ve Frec: 2 LogProb: -11.517995921783335
Palabra: -via Frec: 2 LogProb: -11.517995921783335
Palabra: -video Frec: 0 LogProb: 0
Palabra: -walk Frec: 0 LogProb: 0
Palabra: -wash Frec: 0 LogProb: 0
Palabra: -washes Frec: 0 LogProb: 0
Palabra: -watch Frec: 0 LogProb: 0
Palabra: -we Frec: 0 LogProb: 0
Palabra: -wear Frec: 0 LogProb: 0
Palabra: -weezy Frec: 0 LogProb: 0
Palabra: -whatever Frec: 0 LogProb: 0
Palabra: -whose Frec: 0 LogProb: 0
Palabra: -will Frec: 0 LogProb: 0
Palabra: -with Frec: 0 LogProb: 0
Palabra: -work Frec: 0 LogProb: 0
Palabra: -worried Frec: 0 LogProb: 0
Palabra: -yep Frec: 0 LogProb: 0
Palabra: .0000009375 Frec: 0 LogProb: 0
Palabra: .1/2 Frec: 0 LogProb: 0
Palabra: .13 Frec: 0 LogProb: 0
Palabra: .20 Frec: 0 LogProb: 0
Palabra: .25 Frec: 0 LogProb: 0
Palabra: .30 Frec: 0 LogProb: 0
Palabra: .414 Frec: 0 LogProb: 0
Palabra: .500 Frec: 0 LogProb: 0
Palabra: .80 Frec: 0 LogProb: 0
Palabra: .86 Frec: 0 LogProb: 0
Palabra: .9 Frec: 0 LogProb: 0
Palabra: .99 Frec: 9 LogProb: -10.314023117457399
Palabra: .99gl Frec: 0 LogProb: 0
Palabra: .?.63 Frec: 0 LogProb: 0
Palabra: .a Frec: 0 LogProb: 0
Palabra: .after Frec: 0 LogProb: 0
Palabra: .also Frec: 0 LogProb: 0
Palabra: .black Frec: 0 LogProb: 0
Palabra: .empty Frec: 0 LogProb: 0
Palabra: .from Frec: 0 LogProb: 0
Palabra: .housing Frec: 0 LogProb: 0
Palabra: .i Frec: 0 LogProb: 0
Palabra: .if Frec: 0 LogProb: 0
Palabra: .in Frec: 0 LogProb: 0
Palabra: .its Frec: 0 LogProb: 0
Palabra: .just Frec: 0 LogProb: 0
Palabra: .kroger Frec: 0 LogProb: 0
Palabra: .low Frec: 0 LogProb: 0
Palabra: .no Frec: 0 LogProb: 0
Palabra: .none Frec: 0 LogProb: 0
Palabra: .or Frec: 0 LogProb: 0
Palabra: .perhaps Frec: 0 LogProb: 0
Palabra: .raising Frec: 0 LogProb: 0
Palabra: .stay Frec: 0 LogProb: 0
